wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1A,WD,LL#1,"Monday, 08/25",,,,,
1A,WD,LL#2,"Wednesday, 08/27",,,,,
1A,WD,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",,,,,
1A,WD,LL#4,"Wednesday, 09/03",,,,,
1A,WD,LL#5,"Monday, 09/08",,,,,
1A,WD,LL#6,"Wednesday, 09/10",,,,,
1A,WD,LL#7,"Monday, 09/15",,,,,
1A,WD,LL#8,"Wednesday, 09/17",,,,,
1A,WD,LL#9,"Monday, 09/22",,,,,
1A,WD,LL#10,"Wednesday, 09/24",,,,,
1A,WD,LL#11,"Monday, 09/29",,,,,
1A,WD,LL#12,"Wednesday, 10/01",,,,,
1A,WD,LL#1,"Wednesday, 10/15",,,,,
1A,WD,LL#2,"Monday, 10/20",,,,,
1A,WD,LL#3,"Wednesday, 10/22",,,,,
1A,WD,LL#4,"Monday, 10/27",,,,,
1A,WD,LL#5,"Wednesday, 10/29",,,,,
1A,WD,LL#6,"Monday, 11/03",,,,,
1A,WD,LL#7,"Wednesday, 11/05",,,,,
1A,WD,LL#8,"Monday, 11/10",,,,,
1A,WD,LL#9,"Wednesday, 11/12",,,,,
1A,WD,LL#10,"Monday, 11/17",,,,,
1A,WD,LL#11,"Wednesday, 11/19",,,,,
1A,WD,LL#12,"Monday, 11/24",,,,,
